Time,Humidity,Temperature,HumidifierPower
Sun Mar  3 19:15:19 2019,94.0,26.3,0.0
Sun Mar  3 19:15:22 2019,94.0,26.3,0.0
Sun Mar  3 19:15:23 2019,94.0,26.3,0.0
Sun Mar  3 19:15:23 2019,94.0,26.3,0.0
Sun Mar  3 19:15:24 2019,94.0,26.3,0.0
Sun Mar  3 19:15:25 2019,94.0,26.3,0.0
Sun Mar  3 19:15:25 2019,94.0,26.3,0.0
Sun Mar  3 19:15:26 2019,94.0,26.3,0.0
Sun Mar  3 19:15:26 2019,94.0,26.3,0.0
Sun Mar  3 19:15:27 2019,93.0,26.2,0.0
Sun Mar  3 19:15:28 2019,94.0,26.3,0.0
Sun Mar  3 19:15:28 2019,94.0,26.3,0.0
Sun Mar  3 19:15:29 2019,94.0,26.3,0.0
Sun Mar  3 19:15:29 2019,94.0,26.3,0.0
Sun Mar  3 19:15:30 2019,94.0,26.3,0.0
Sun Mar  3 19:15:31 2019,94.0,26.3,0.0
Sun Mar  3 19:15:34 2019,94.0,26.3,0.0
Sun Mar  3 19:15:34 2019,94.0,26.3,0.0
Sun Mar  3 19:15:35 2019,93.0,26.3,0.0
Sun Mar  3 19:15:35 2019,93.0,26.3,0.0
Sun Mar  3 19:15:36 2019,93.0,26.3,0.0
Sun Mar  3 19:15:37 2019,93.0,26.3,0.0
Sun Mar  3 19:15:37 2019,93.0,26.3,0.0
Sun Mar  3 19:15:38 2019,93.0,26.3,0.0
Sun Mar  3 19:15:38 2019,93.0,26.3,0.0
Sun Mar  3 19:15:39 2019,93.0,26.3,0.0
Sun Mar  3 19:15:40 2019,93.0,26.3,0.0
